cat	alias	title	publication	arxiv	doi	pdf	code	mechanism	fit
2	ER-CoPe	Efficient Collaborative Perception With Integrated Uncertainty Estimation via Evidence Regression	IEEE T-ITS 26(11):20976–20989, 2025		10.1109/TITS.2025.3587766		https://github.com/HIT-K/ER-CoPe	证据回归联合估计检测与不确定性，用于高效协作。	A｜证据与协作相关；回归证据参数、融合公式及对天气的验证需全文进一步核对。
2	ICPB	Perception balance with uncertainty-guided fusion and proposal-wise mixture-of-experts for robust multi-agent 3D object detection	Expert Systems with Applications 310:131311, 2026			https://www.sciencedirect.com/science/article/pii/S0957417426002241/pdfft		特征不确定性融合、proposal 级专家混合与渐进双教师，平衡单车和协作感知。	A｜保留单车能力与防止负迁移尤其适合你的研究；天气实测[待确认]。
2	Reliable-Heterogeneous	Uncertainty-guided and reliable collaborative perception for open heterogeneous systems	Pattern Recognition Letters 204:127–133, 2026		10.1016/j.patrec.2026.04.011	https://www.sciencedirect.com/science/article/pii/S0167865526001297/pdfft		不确定性引导查询、前景选择与双流多层融合，应对开放异构协作。	A｜可把质量证据作为融合条件；重点是异构而非已验证天气退化。
2	CoDS	CoDS: Robust Collaborative Perception via Expert-driven Detection and BEV Segmentation	arXiv 2026	2608.14085			https://github.com/JinlongW128/CoDS	可靠性建模、稀疏专家和检测/BEV 分割双任务交互提升协作鲁棒性。	A｜最新候选；需区分可靠性辅助监督与已校准噪声概率，天气结果[待确认]。
2	Hyper-V2X	Hyper-V2X: Hypernetworks for Estimating Epistemic and Aleatoric Uncertainty in Cooperative Bird's-Eye-View Semantic Segmentation	arXiv 2026	2605.21309			https://github.com/abhishekjagtap1/Hyper-V2X	超网络估计协作 BEV 分割的认知与偶然不确定性。	B｜主要是融合结果的不确定性量化，不应直接称为质量加权融合；适合校准分析。
2	AFFormer	AFFormer: Adaptive Feature Fusion Transformer for V2X Cooperative Perception under Channel Impairments	arXiv 2026	2605.01888				时序与跨车聚合、双空间注意力、熵相关自适应融合及教师蒸馏。	A｜无线信道损坏；可研究熵与 GSPR 可靠性的互补，但二者并非同一量。
2	Adaptive-Weighting	Self-supervised adaptive weighting for cooperative perception in V2V communications	IEEE T-IV 9(2):3569–3580, 2024；online 2023		10.1109/TIV.2023.3345035	https://centaur.reading.ac.uk/114633/		自监督学习协作信息的自适应权重，减少对人工权重规则的依赖。	A｜直接权重学习基线；需核对自监督信号对天气相关失效的适用性。
2	Double-M	Uncertainty Quantification of Collaborative Detection for Self-Driving	ICRA 2023	2209.08162	10.1109/ICRA48891.2023.10160367		https://github.com/coperception/double-m-quantification	移动块 bootstrap 与 Monte Carlo dropout 结合，量化协作检测不确定性。	B｜评估工具；不会自然解决缺失消息语义或有害特征准入。
3	Where2comm	Where2comm: Communication-Efficient Collaborative Perception via Spatial Confidence Maps	NeurIPS 2022	2209.12836		https://proceedings.neurips.cc/paper_files/paper/2022/file/1f5c5cd01b864d53cc5fa0a3472e152e-Paper-Conference.pdf	https://github.com/MediaBrain-SJTU/where2comm	空间置信度驱动请求和通信，并采用置信度相关的跨车融合。	A｜高优先级基线；检测置信度不能直接当作天气质量，稀疏未发送区域应显式 mask。
3	How2comm	How2comm: Communication-Efficient and Collaboration-Pragmatic Multi-Agent Perception	NeurIPS 2023			https://papers.neurips.cc/paper_files/paper/2023/file/4f31327e046913c7238d5b671f5d820e-Paper-Conference.pdf	https://github.com/ydk122024/How2comm	互信息过滤、延迟补偿及 Transformer 协作，使收到的信息更可用。	A｜同时改通信与融合；固定你的通信包做融合消融，避免把带宽变化归因于融合。
3	What2comm	What2comm: Towards Communication-Efficient Collaborative Perception via Feature Decoupling	ACM MM 2023:7686–7695		10.1145/3581783.3611699			分解共享与特有信息，利用互补特征降低重复传输并促进协作。	A｜与你的条件增益目标相关；需要检查“差异”是否把天气噪声也当作互补。
3	CRCNet	Complementarity-Enhanced and Redundancy-Minimized Collaboration Network for Multi-agent Perception	ACM MM 2022:3578–3586		10.1145/3503161.3548197			显式增强互补、抑制冗余，按跨车信息差异组织协作。	A｜早期互补融合对照；差异大不代表新增证据可信。
3	CMiMC	What Makes Good Collaborative Views? Contrastive Mutual Information Maximization for Multi-Agent Perception	AAAI 2024	2403.10068		https://ojs.aaai.org/index.php/AAAI/article/download/29705/31209	https://github.com/77SWF/CMiMC	局部与全局互信息对比学习，约束融合前后保留有用视角信息。	A｜适合设计融合监督；单纯保信息可能同时保留共同天气噪声。
3	CodeFilling	Communication-Efficient Collaborative Perception via Information Filling with Codebook	CVPR 2024	2405.04966		https://openaccess.thecvf.com/content/CVPR2024/papers/Hu_Communication-Efficient_Collaborative_Perception_via_Information_Filling_with_Codebook_CVPR_2024_paper.pdf	https://github.com/PhyllisH/CodeFilling	码本传输和信息填充，在稀疏接收条件下恢复协作表征。	A｜与你的缺口请求相邻；须区分真实邻居证据与码本先验生成的信息。
3	CoSDH	Communication-Efficient Collaborative Perception via Supply-Demand Awareness and Intermediate-Late Hybridization	CVPR 2025:6834–6843	2503.03430			https://github.com/Xu2729/CoSDH	供需匹配配合中间/后期混合融合，分配不同类型的协作信息。	A｜最贴近需求条件下的增量收益；保持 256 KiB 总预算才可公平比较。
3	mmCooper	mmCooper: A Multi-agent Multi-stage Communication-efficient and Collaboration-robust Cooperative Perception Framework	ICCV 2025	2501.12263		https://openaccess.thecvf.com/content/ICCV2025/papers/Liu_mmCooper_A_Multi-agent_Multi-stage_Communication-efficient_and_Collaboration-robust_Cooperative_Perception_Framework_ICCV_2025_paper.pdf		多阶段协作及混合信息利用，兼顾通信开销与协作鲁棒。	A｜可比较特征和检测结果的互补；不要把不同传输内容的收益归为纯融合收益。
3	WhisperNet	WhisperNet: A Scalable Solution for Bandwidth-Efficient Collaboration	CVPR 2026:32154–32163	2603.01708		https://openaccess.thecvf.com/content/CVPR2026/papers/Chen_WhisperNet_A_Scalable_Solution_for_Bandwidth-Efficient_Collaboration_CVPR_2026_paper.pdf		接收方请求配合协作信息路由，在多参与者条件下组织有限通信。	A｜请求与融合上下文相连；优先检查收到包之后的路由、残差和聚合实现。
3	INSTINCT	INSTINCT: Instance-Level Interaction Architecture for Query-Based Collaborative Perception	ICCV 2025:25464–25473	2509.23700		https://openaccess.thecvf.com/content/ICCV2025/papers/Xu_INSTINCT_Instance-Level_Interaction_Architecture_for_Query-Based_Collaborative_Perception_ICCV_2025_paper.pdf	https://github.com/CrazyShout/INSTINCT	实例质量筛选、单车/协作交互路径和局部查询聚合。	A｜可借鉴“先质量筛选再局部交互”；迁移到密集 BEV 时需映射实例与块级证据。
3	FocalComm	FocalComm: Hard Instance-Aware Multi-Agent Perception	WACV 2026:6277–6286			https://openaccess.thecvf.com/content/WACV2026/papers/Shenkut_FocalComm_Hard_Instance-Aware_Multi-Agent_Perception_WACV_2026_paper.pdf		围绕困难实例选择和融合协作特征，优先处理单车难例。	A｜与你的 task-risk 条件很接近；困难程度不等于邻居能提供可靠补充。
3	CoGMoE	CoGMoE: Sparse and specialized framework for multi-agent collaborative perception via graph mixture-of-experts	Knowledge-Based Systems 337:115329, 2026		10.1016/j.knosys.2026.115329	https://www.sciencedirect.com/science/article/pii/S0950705126000730/pdfft		稀疏关键点、分层图和专门化图专家进行多轮跨车交互。	A｜适合稀疏消息融合；图路由和专家增加的代价需与现有 AttFuse 比较。
3	Fusion2comm	Occlusion-guided multi-modal fusion for vehicle-infrastructure cooperative 3D object detection	Pattern Recognition 157:110939, 2025；online 2024		10.1016/j.patcog.2024.110939	https://www.sciencedirect.com/science/article/pii/S0031320324006903/pdfft		利用遮挡与前景信息引导车路多模态信息交换和融合。	B｜遮挡驱动的需求可借鉴；遮挡未知与天气噪声需要分别建模。
3	FPV-RCNN	Keypoints-Based Deep Feature Fusion for Cooperative Vehicle Detection of Autonomous Driving	IEEE RA-L 7(2):3054–3061, 2022	2109.11615	10.1109/LRA.2022.3143299	https://ris.utwente.nl/ws/portalfiles/portal/329059819/Keypoints-Based_Deep_Feature_Fusion_for_Cooperative_Vehicle_Detection_of_Autonomous_Driving.pdf	https://github.com/YuanYunshuang/FPV_RCNN	关键点深层特征选择、候选框匹配与最大共识定位修正，实现稀疏协作融合。	B｜稀疏关键点而非密集 BEV 通信；适合借鉴“先匹配证据，再精细融合”。
3	TransIFF	TransIFF: An Instance-Level Feature Fusion Framework for Vehicle-Infrastructure Cooperative 3D Detection with Transformers	ICCV 2023			https://openaccess.thecvf.com/content/ICCV2023/papers/Chen_TransIFF_An_Instance-Level_Feature_Fusion_Framework_for_Vehicle-Infrastructure_Cooperative_3D_ICCV_2023_paper.pdf		用实例级 Transformer 汇聚车路特征，围绕目标减少无关背景交互。	B｜实例级融合迁移；密集 BEV 块与实例的映射、漏检目标能否获益需要检查。
4	F-Cooper	F-Cooper: Feature Based Cooperative Perception for Autonomous Vehicle Edge Computing System Using 3D Point Clouds	ACM/IEEE SEC 2019:88–100	1909.06459	10.1145/3318216.3363300	https://par.nsf.gov/servlets/purl/10206344	https://github.com/Aug583/F-COOPER	早期中间特征协作，以空间对齐后的特征聚合建立可行基线。	A｜基础对照；简单最大值融合可能放大天气造成的高响应噪声。
4	CoFF	CoFF: Cooperative Spatial Feature Fusion for 3D Object Detection on Autonomous Vehicles	IEEE IoT-J, 2021	2009.11975	10.1109/JIOT.2021.3053184	https://par.nsf.gov/servlets/purl/10230521		强调协作特征的额外语义贡献，并增强弱小或远处目标特征。	A｜不同于 F-Cooper 的新融合算法，保留为独立方法；增强弱响应时需防噪声。
4	V2VNet	V2VNet: Vehicle-to-Vehicle Communication for Joint Perception and Prediction	ECCV 2020	2008.07519		https://www.ecva.net/papers/eccv_2020/papers_ECCV/papers/123470596.pdf		图消息传递结合空间特征聚合，联合感知与运动预测。	A｜图融合经典；官方实现未确认，第三方 OpenCOOD 复现不等同原作者开源。
4	DiscoNet	Learning Distilled Collaboration Graph for Multi-Agent Perception	NeurIPS 2021	2111.00643		https://papers.nips.cc/paper/2021/file/f702defbc67edb455949f46babab0c18-Paper.pdf	https://github.com/ai4ce/DiscoNet	蒸馏区域级协作图，学习不同位置和车辆间的信息贡献。	A｜空间自适应边权基线；教师若只见干净数据可能在天气下失准。
4	OPV2V-AttFuse	OPV2V: An Open Benchmark Dataset and Fusion Pipeline for Perception with Vehicle-to-Vehicle Communication	ICRA 2022:2583–2589	2109.07644			https://github.com/DerrickXuNu/OpenCOOD	PointPillars 中间特征的自注意力协作融合及公开实验管线。	A｜你的直接基线；新增方法应保持 backbone、通信消息和检测头一致。
4	V2X-ViT	V2X-ViT: Vehicle-to-Everything Cooperative Perception with Vision Transformer	ECCV 2022	2203.10638			https://github.com/DerrickXuNu/v2x-vit	异构多智能体注意力、多尺度窗口和延迟编码进行跨车 BEV 交互。	A｜定位/延迟鲁棒性是主要动机；不可只凭 challenging environments 宣称天气验证。
4	CoBEVT	CoBEVT: Cooperative Bird's Eye View Semantic Segmentation with Sparse Transformers	CoRL 2022；PMLR 205:989–1000, 2023	2207.02202		https://proceedings.mlr.press/v205/xu23a/xu23a.pdf	https://github.com/DerrickXuNu/CoBEVT	FAX 稀疏局部/全局轴向注意力融合跨视角和跨智能体特征。	A｜原任务 BEV 分割，也展示检测迁移；适合比较稀疏注意力与多尺度 AttFuse。
4	AdaFusion	Adaptive Feature Fusion for Cooperative Perception Using LiDAR Point Clouds	WACV 2023:1186–1195	2208.00116		https://openaccess.thecvf.com/content/WACV2023/papers/Qiao_Adaptive_Feature_Fusion_for_Cooperative_Perception_Using_LiDAR_Point_Clouds_WACV_2023_paper.pdf	https://github.com/DonghaoQiao/Adaptive-Feature-Fusion-for-Cooperative-Perception	空间/通道自适应权重与卷积融合，学习不同智能体的局部贡献。	A｜成本较低、骨干匹配的直接替换候选；自适应注意力本身不是校准质量。
4	CoMamba	CoMamba: Real-time Cooperative Perception Unlocked with State-Space Models	IROS 2025	2409.10699	10.1109/IROS60139.2025.11245863		https://taco-group.github.io/CoMamba/	利用状态空间模型跨智能体扫描融合，降低大范围特征交互成本。	A｜高效融合对照；状态空间序列扫描不必然表示使用历史帧。
4	CoRange	CoRange: Collaborative Range-Aware Adaptive Fusion for Multi-Agent Perception	IEEE T-IV 10(8):4316–4329, 2025；online 2024		10.1109/TIV.2024.3478756			按感知范围组织协作，局部智能体注意力与层次融合利用远近互补。	A｜距离可作几何支持先验；距离和密度不能单独决定雨雾下可靠性。
5	CoAlign	Robust Collaborative 3D Object Detection in Presence of Pose Errors	ICRA 2023:4812–4818	2211.07214			https://github.com/yifanlu0227/CoAlign	目标-位姿图优化校正跨车位姿，再进行多尺度融合。	A｜空间对齐基线；先判断不一致来自定位还是天气，再决定拒绝消息。
5	ERMVP	ERMVP: Communication-Efficient and Collaboration-Robust Multi-Vehicle Perception in Challenging Environments	CVPR 2024:12575–12584			https://openaccess.thecvf.com/content/CVPR2024/papers/Zhang_ERMVP_Communication-Efficient_and_Collaboration-Robust_Multi-Vehicle_Perception_in_Challenging_Environments_CVPR_2024_paper.pdf	https://github.com/Terry9a/ERMVP	稀疏共识校准与以自车为中心的融合，缓解通信受限和特征错位。	A｜直接接收融合；以自车为参考并不意味着自车在恶劣天气下总是正确。
5	NEAT	Align before Collaborate: Mitigating Feature Misalignment for Robust Multi-Agent Perception	ECCV 2024			https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00560.pdf		融合前进行特征对齐，利用局部交互减少残余空间错位。	A｜可作为门控前的对齐插件；避免把轻微错位误判为邻居不可信。
5	CoBEVGlue	Self-Localized Collaborative Perception	arXiv 2024；正式发表[待确认]	2406.12712			https://github.com/VincentNi0107/CoBEVGlue	利用协作感知中的目标/时序约束估计相对定位，降低外部定位依赖。	B｜前置坐标对齐，非独立天气融合算法；与你的 pose 元数据接口相关。
5	DATA	DATA: Domain-And-Time Alignment for High-Quality Feature Fusion in Collaborative Perception	ICCV 2025:28643–28652			https://openaccess.thecvf.com/content/ICCV2025/papers/Tian_DATA_Domain-And-Time_Alignment_for_High-Quality_Feature_Fusion_in_Collaborative_Perception_ICCV_2025_paper.pdf		联合处理跨智能体表征域差异与时间错位，再融合高质量特征。	A｜可借鉴域/时间质量拆分；硬件域差异不等价于天气域差异。
5	CATNet	CATNet: Collaborative Alignment and Transformation Network for Cooperative Perception	CVPR 2026	2603.05255		https://openaccess.thecvf.com/content/CVPR2026/papers/Chen_CATNet_Collaborative_Alignment_and_Transformation_Network_for_Cooperative_Perception_CVPR_2026_paper.pdf		时空同步、小波域全局/局部变换去噪与自适应特征选择。	A｜对齐后去噪再选择的完整链条；需单独核对天气与人工噪声实验范围。
5	CoAnchor	CoAnchor: Robust Collaborative Perception under Spatio-Temporal Misalignment via Object-Level Anchors	arXiv 2026	2608.21055				目标级锚点联合处理空间位姿和时间误差，支持稳健跨车融合。	A｜最新时空对齐候选；目标稀少或被天气破坏时锚点可靠性需检查。
6	SyncNet	Latency-Aware Collaborative Perception	ECCV 2022	2207.08560			https://github.com/MediaBrain-SJTU/SyncNet	使用时序信息补偿延迟特征，再与当前自车特征融合。	A｜异步通信基线；历史噪声可能持续，不能直接以时间平滑替代可靠性建模。
6	CoBEVFlow	Asynchrony-Robust Collaborative Perception via Bird's Eye View Flow	NeurIPS 2023	2309.16940		https://openreview.net/pdf?id=UHIDdtxmVS	https://github.com/MediaBrain-SJTU/CoBEVFlow	估计 BEV 流将邻居历史特征对齐到当前时刻。	A｜运动补偿与质量融合可以分开消融；同一 arXiv 的旧题名不重复收录。
6	FFNet	Flow-Based Feature Fusion for Vehicle-Infrastructure Cooperative 3D Object Detection	NeurIPS 2023	2311.01682		https://proceedings.neurips.cc/paper_files/paper/2023/file/6ca5d2665de83394f437dad0c3746907-Paper-Conference.pdf	https://github.com/haibao-yu/FFNet-VIC3D	发送可预测未来特征的 feature flow，用自监督时序学习补偿车路异步。	B｜会改变消息语义，迁移时不能声称只替换接收融合。
6	MRCNet	Multi-Agent Collaborative Perception via Motion-Aware Robust Communication Network	CVPR 2024		10.1109/CVPR52733.2024.01449		https://github.com/IndigoChildren/collaborative-perception-MRCNet	运动感知的鲁棒通信和时空特征聚合，处理动态场景中的合作信息。	A｜可将运动风险接入 task-risk；天气验证[待确认]。
6	SCOPE-plus	Robust Multi-Agent Collaborative Perception via Spatio-Temporal Awareness	IEEE TCSVT 35(6):5644–5658, 2025；方法 SCOPE++，扩展 ICCV 2023 SCOPE		10.1109/TCSVT.2025.3528980			局部时序上下文、互补稀疏通信、重要性跨车交互及贡献自适应融合。	A｜“条件贡献”与保留本地表征很契合；仅收录最新 SCOPE++，不拿 SCOPE 旧 PDF 冒充。
6	CoST	CoST: Efficient Collaborative Perception From Unified Spatiotemporal Perspective	ICCV 2025:1120–1129	2508.00359		https://openaccess.thecvf.com/content/ICCV2025/papers/Tang_CoST_Efficient_Collaborative_Perception_From_Unified_Spatiotemporal_Perspective_ICCV_2025_paper.pdf	https://github.com/tzhhhh123/CoST	统一时间与智能体两个维度，通过稀疏/递归交互实现高效融合。	A｜可以研究 q/u 跨时间传播；需同时控制历史缓存和额外延迟。
6	V2X-INCOP	Interruption-Aware Cooperative Perception for V2X Communication-Aided Autonomous Driving	IEEE T-IV 9(4):4698–4714, 2024	2304.11821	10.1109/TIV.2024.3371974			针对通信中断预测或恢复缺失协作信息，维持融合连续性。	A｜很适合明确 no-message 状态；预测补全必须与真实接收证据分别标记。
7	CORE	CORE: Cooperative Reconstruction for Multi-Agent Perception	ICCV 2023	2307.11514			https://github.com/zllxot/CORE	用合作重建任务学习有效的中间表征与协作融合。	A｜可作为缺口补全辅助任务；重建准确不保证下游 AP 增益。
7	UMC	UMC: A Unified Bandwidth-efficient and Multi-resolution based Collaborative Perception Framework	ICCV 2023	2303.12400			https://github.com/ispc-lab/UMC	多分辨率特征共享与统一带宽高效协作，利用不同尺度的信息。	A｜与你的三尺度包接近；每个尺度的 mask 和质量证据应一起传播。
7	DSRC	Learning Density-insensitive and Semantic-aware Collaborative Representation against Corruptions	AAAI 2025	2412.10739			https://github.com/Terry9a/DSRC	学习对点密度变化不敏感且语义感知的协作表征以抵抗损坏。	A｜避免密度与质量混淆的重要对照；合成 corruption 不应统称真实雨雪。
7	CoopDiff	CoopDiff: A Diffusion-Guided Approach for Cooperation under Corruptions	CVPR 2026	2603.01688		https://openaccess.thecvf.com/content/CVPR2026/papers/Chen_CoopDiff_A_Diffusion-Guided_Approach_for_Cooperation_under_Corruptions_CVPR_2026_paper.pdf		退化感知教师及单车/协作扩散分支恢复特征，并进行自车相关融合。	A｜“恢复后再融合”的强候选；生成先验会引入幻觉与额外计算，应保留原始证据分支。
7	CoLC	CoLC: Communication-Efficient Collaborative Perception with LiDAR Completion	CVPR 2026	2603.00682			https://github.com/CatOneTwo/CoLC	利用 LiDAR 完成/补全提升有限通信下的协作感知。	B｜需核对补全所在阶段；你的工作应区分观测补足与先验补足。
7	DiffCP	DiffCP: Ultra-Low Bit Collaborative Perception via Diffusion Model	ICRA 2025:6587–6593	2409.19592				极低比特条件扩散重建协作特征，以生成式解码支持融合。	B｜通信编码与接收重建联合改变；评估 hallucination、推理开销和低质量条件输入。
7	WaveComm	WaveComm: Lightweight Communication for Collaborative Perception via Wavelet Feature Distillation	ICRA 2026；正式出版细节[待确认]	2603.13365			https://github.com/erdemtbao/WaveComm	小波特征蒸馏压缩信息并保留多尺度结构用于协作。	B｜频率选择可与天气噪声相连，但高频不必然是噪声，小目标也可能被去除。
7	V2VAM-LCRN	Learning for Vehicle-to-Vehicle Cooperative Perception Under Lossy Communication	IEEE T-IV 8:2650–2660, 2023	2212.08273	10.1109/TIV.2023.3260040			丢失特征恢复网络配合跨车注意力处理有损传输。	A｜适合接收 mask、缺块恢复和信任门控；丢包与物理传感噪声应分别实验。
8	HM-ViT	HM-ViT: Hetero-Modal Vehicle-to-Vehicle Cooperative Perception with Vision Transformer	ICCV 2023:284–295	2304.10628		https://openaccess.thecvf.com/content/ICCV2023/papers/Xiang_HM-ViT_Hetero-Modal_Vehicle-to-Vehicle_Cooperative_Perception_with_Vision_Transformer_ICCV_2023_paper.pdf	https://github.com/XHwind/HM-ViT	异构模态 Transformer 在跨车融合中建模不同传感器特征关系。	B｜可借鉴类型条件注意力；当前纯 LiDAR 场景首先应控制模态和模型一致。
8	HEAL	An Extensible Framework for Open Heterogeneous Collaborative Perception	ICLR 2024	2401.13964			https://github.com/yifanlu0227/HEAL	异构智能体对齐到公共协作空间，采用层次/多尺度融合接纳新模型。	A｜金字塔融合是可迁移组件；域适配部分与天气质量门控分开评价。
8	STAMP	STAMP: Scalable Task- And Model-agnostic Collaborative Perception	ICLR 2025	2501.18616		https://proceedings.iclr.cc/paper_files/paper/2025/file/87d91d52272c3166315ca20b18519b9e-Paper-Conference.pdf	https://github.com/taco-group/STAMP	通过适配器和还原器建立通用协作协议，支持不同任务与模型。	B｜若后续邻居模型异构很有价值；目前不是首轮天气融合替换项。
8	CoBEVMoE	CoBEVMoE: Heterogeneity-aware Feature Fusion with Dynamic Mixture-of-Experts for Collaborative Perception	ICRA 2026（接收状态与出版信息以核对记录为准）	2509.17107			https://github.com/godk0509/CoBEVMoE	动态专家结合跨车共享性和差异性，按输入选择融合策略。	A｜适合将 q/u、几何支持、风险变成路由条件；专家数量和负载均衡需控制。
8	BM2CP	BM2CP: Efficient Collaborative Perception with LiDAR-Camera Modalities	CoRL 2023；PMLR 229, 2023/2024出版年见来源	2310.14702		https://proceedings.mlr.press/v229/zhao23a/zhao23a.pdf	https://github.com/byzhaoAI/BM2CP	LiDAR 引导模态融合、合作深度生成及模态引导中间融合，支持传感器缺失。	B｜显式 missing-modality 机制值得借鉴，模态缺失与消息未发送仍需区分。
8	Progressive-Beliefs	You Share Beliefs, I Adapt: Progressive Heterogeneous Collaborative Perception	ICCV 2025			https://openaccess.thecvf.com/content/ICCV2025/papers/Si_You_Share_Beliefs_I_Adapt_Progressive_Heterogeneous_Collaborative_Perception_ICCV_2025_paper.pdf		利用共享信念进行渐进异构适配，改善新参与者之间的协作兼容。	B｜适合研究分布迁移；天气下错误信念相互强化的风险需要单独衡量。
9	Seeing-Through-Fog	Seeing Through Fog Without Seeing Fog: Deep Multimodal Sensor Fusion in Unseen Adverse Weather	CVPR 2020	1902.08913		https://openaccess.thecvf.com/content_CVPR_2020/papers/Bijelic_Seeing_Through_Fog_Without_Seeing_Fog_Deep_Multimodal_Sensor_Fusion_CVPR_2020_paper.pdf	https://github.com/princeton-computational-imaging/SeeingThroughFog	依据测量熵进行自适应多传感器融合，在未见天气下调整模态贡献。	C｜单车迁移；质量条件融合的经典，模态级失效结构与多车相关天气并不相同。
9	BEVFusion-ADLab	BEVFusion: A Simple and Robust LiDAR-Camera Fusion Framework	NeurIPS 2022	2205.13790		https://papers.neurips.cc/paper_files/paper/2022/file/43d2b7fbee8431f7cef0d0afed51c691-Paper-Conference.pdf	https://github.com/ADLab-AutoDrive/BEVFusion	独立 LiDAR/相机 BEV 表征再融合，改善传感器异常时的退化行为。	C｜单车迁移；对保留独立 ego 分支有启发。与 MIT 同名论文不是同一工作。
9	BEVFusion-MIT	BEVFusion: Multi-Task Multi-Sensor Fusion with Unified Bird's-Eye View Representation	ICRA 2023	2205.13542			https://github.com/mit-han-lab/bevfusion	统一 BEV 空间高效汇聚多传感器信息，支持多任务。	C｜单车迁移；BEV 对齐架构基线，不是跨车天气可靠性估计方法。
9	Cocoon	Cocoon: Robust Multi-Modal Perception with Uncertainty-Aware Sensor Fusion	ICLR 2025	2410.12592		https://openreview.net/pdf?id=DKgAFfCs5F		以不确定性与校准机制指导多模态感知融合。	C｜单车迁移；适合检查可靠性门控是否校准，不应把统计覆盖保证直接搬到天气分布外。
